Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R022036,"   Medeiros, Jonathan ",Cepheid,Cepheid,11/01/24-10/31/25
R021579,"   Medeiros, Jonathan ",Cepheid,Cepheid,07/19/24-10/31/24
R024078,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,11/01/24-10/31/25
R024080,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Rooftop Solar Coalition (MRSC),11/01/24-10/31/25
R021264,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,02/29/24-10/31/24
R015976,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,01/11/23-10/31/23
R024163,"Abbruzzese, Rick A",KO Public Affairs LLC,Capital Logistics,11/01/24-10/31/25
R017369,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Rooftop Solar Coalition (MRSC),11/01/23-10/31/24
R007256,"Abbruzzese, Rick A",KO Public Affairs LLC,goPuff,01/15/21-10/31/21
R002144,"Abbruzzese, Rick A",KO Public Affairs LLC,"Bird Rides, Inc.",11/01/19-09/01/20
R006484,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Catholic Conference,11/01/20-10/31/21
R006486,"Abbruzzese, Rick A",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,11/01/20-10/31/21
R006485,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,11/01/20-10/31/21
R021068,"Abbruzzese, Rick A",KO Public Affairs LLC,"Uber Technologies, Inc.",02/08/24-10/31/24
R020110,"Abbruzzese, Rick A",KO Public Affairs LLC,We Work for Health,11/01/23-10/31/24
R002153,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,11/01/19-10/31/20
R024082,"Abbruzzese, Rick A",KO Public Affairs LLC,"Perdue Farms, Inc.",11/01/24-10/31/25
R002138,"Abbruzzese, Rick A",KO Public Affairs LLC,Transource Maryland,11/01/19-10/31/20
R002159,"Abbruzzese, Rick A",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,11/01/19-10/31/20
R002162,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Catholic Conference,01/06/20-10/31/20
R016320,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Catholic Conference,02/07/23-05/08/23
R015977,"Abbruzzese, Rick A",KO Public Affairs LLC,We Work for Health,01/11/23-10/31/23
R024079,"Abbruzzese, Rick A",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,11/01/24-10/31/25
R025725,"Adams, Michael  ","Sasscer, Clagett & Bucher",Associated Builders & Contractors,02/12/25-10/31/25
R003501,"Adams, Doug Foley",Capitol Strategies,Capitol Strategies LLC,02/03/20-10/31/20
R021114,"Adams, Michael  ","Sasscer, Clagett & Bucher","Maryland Insurance Adjustors, Inc.",02/13/24-04/08/24
R024757,"Adams, Michael  ","Sasscer, Clagett & Bucher",Earnin,11/21/24-10/31/25
R025032,"Adams, Michael  ","Sasscer, Clagett & Bucher","Waldorf Cigar Bar and Lounge, LLC",12/17/24-10/31/25
R011674,"Adams, Michael  ","Sasscer, Clagett & Bucher","Walmart Stores, Inc.",02/09/22-10/31/22
R011515,"Adams, Michael  ","Sasscer, Clagett & Bucher","Juul Labs, Inc.",01/21/22-10/31/22
R011854,"Adams, Michael  ","Sasscer, Clagett & Bucher",Associated Builders & Contractors,03/14/22-10/31/22
